Contract Address,Balance (OP),Contract Type
0xe6ab63FbDFec016357da536201139cCf5b6c1059,1343.1649380356687,Other
0xCC1985f053c8C584c05e02Db0B494514F8cDCEc9,4000.0,Gnosis Safe Proxy
0xB4aF18675fb3c3212422D6a103226670d43D79aA,5.655023988999999,Other
0x37DD9991BA6D277d5Bfd037E47442532F387E1A8,119.6,Vault Contract
0xA5113f7EcC1EF9d8607F5206D56D74EBA33A4cA4,1.80242986,Gnosis Safe Proxy
0x0ddCD6D4Bf9E8c6b6ecf17FbEc37266Ee0616d7D,69.5,Other
0xBBC82e0B95380f7120ae3951D609045fD761759c,17.015732302797193,Other
0xb237C77274730f51AA44CCF214BB001BAa2CB239,16.518085456622202,ERC20 Token
0x80E3406111373C436d22Dd01B04B9c6a8574bd8F,36.9,Vault Contract
0x03c095a0F5bE4436330A1802A5fC56A634D55f41,33.01282016369085,Other
0x05037Ff67d1506Cc2D2bE7b892a4ff62C0560a8b,41.5,Vault Contract
0xa612B3AE86444065c1C51Fc38d98CE1eB06EB314,201879.01320958108,Other
0x28447A86590ff8eca3eE685680837bbF0F5e02E3,1.91909737,Other
0xe137F9871C28100bd5C7a27c6914e98a72Aa9C3A,2.0,Gnosis Safe Proxy
0xa066243Ba7DAd6C779caA1f9417910a4AE83cf4D,8.291356901906124,ERC20 Token
0xadc564b231Cf513d8b0C6710eC9E1e9394e86358,135.0,Vault Contract
0x5B977577Eb8a480f63e11FC615D6753adB8652Ae,1.5243902439024388,ERC20 Token
0x14e6e89c45Cf452dD85920Ee473A64531a62c101,8.73,Gnosis Safe Proxy
0xd5b064D7C3154f06B27E0c777C4f0dE12128Fb20,3.2662180643540326,Gnosis Safe Proxy
0xDD915BEE3f0C808968E9E5E890d2Cf36C76E8c8A,19.464650952835775,Gnosis Safe Proxy
0xfD88d394919B97245c721e57555720E79e454778,15.56201469679,Other
0x7159ef74cA0200c664BCF16bCe7b20A118616f50,3.25664,Gnosis Safe Proxy
0x32FDF05EA0AC9a73f152C6e86321A2F8C8C99bB2,55.54,Other
0x90b1a66957914EbbE7a8df254c0c1E455972379C,339.96720679013,Gnosis Safe Proxy
0x1F45AFDDb111e8B118464051ac555CD108353c87,190.11073072643345,Other
0xD30921A4Eeab4f08568A782F02297B1A3AEc6fBC,1.08731063,Gnosis Safe Proxy
0x493B094A60F3E71E5F78EFf6B17b4575c36513d0,66.44144818809417,Other
0xAE2D9288Be0587C2097ec46dB7686ac2481F896E,6336.822203051431,Other
0x600E03579D640bCB9D210A0b7e586d02409a1D63,1.5204233,Other
0x627587418952A8f7415E86c01EF35a1BBc9CF655,14.0,Gnosis Safe Proxy
0x6a2F44196C34b04c4f499C7f1Fa1126a44496a9E,2.323,Other
0xC59f7b16C00e4A355850D9bcdFA6e02BD2060132,192.0,Vault Contract
0xE519Fff51B779A97C4bACEF9a37664d48585eb73,5.0,Gnosis Safe Proxy
0xb4A1C62F099938446F6C9D6dD1Ec18EdCb5b5ddE,2.6884,Other
0xE9222B92790cB72ec31A96Df3eeDf3fE8Da5EB10,7.63130404696202,Gnosis Safe Proxy
0xB3d4EFE7ECF102afCd3262cF4d5fc768D0c55459,1.5,Other
0xfF31cB0dAc556170Ef68a3Cd97c00d3a93E5A19e,1.169815006,Other
0x90a855AB2E555653Efc1d5A014571600EFA2bc02,5.712892989354697,Other
0xe63D15180c409777f6CDd611B62a50E774F18397,13.97005048,Gnosis Safe Proxy
0x5aB278BbD1fB021568E23cDE85139CA52C3462E9,4.0,Gnosis Safe Proxy
0xcA9d14700B881C4C1B5a19e3b6caF646A8EB34F3,9.9877,Other
0xA6e96745920A6438B7BBe36a9d344dEeFE7A6A8e,1.83287994,Gnosis Safe Proxy
0x1801131Cf4C79e40eB32039f8Fb2d20EB351C24a,961.5092255631761,ERC20 Token
0xB1636B5Afabe94A5e1E7C7364fC98Ebfd289e143,34.24976889657195,ERC20 Token
0xc68bc5fE6a2B32f7863B5653C30e455F4CB68191,3.5554469071272377,Gnosis Safe Proxy
0x280D1b9442c3D9D7bC27B5d2e1ca871f96fb6bb6,9.602154403064137,Other
0x6127dC19e4407F85A3D91537285d58B0eF060dA9,3.132256,Gnosis Safe Proxy
0x7741fDAa7E78B4C7196A166ABBD0Fa969984Fa33,89.4,Vault Contract
0x93A529ae5a4A64E887C05687A5C4A3E7F579F821,1.105147617,Other
0xE91172020777b03a94627dBe0b94c6b8389Fb99C,162.36250392736596,Other
0x84C0aE1A1a804FA8d02499793270F6e4d829781C,10.0,Other
0xa7e1dAf07D17E7D00De16fFCf8feEeaB3Cb5140c,1.1127373338412494,Other
0x6E009fFeEd2dD3A10ca1bD95467FbF2DD0133ea3,2.604166954844497,Other
0xb60e5dE4c131b8a3E059Ba9241d5471361022Cf6,23.44449038365657,Other
0xBEDa25EA8c51812569AbCE28860cc5B132937bC2,163599.0,Gnosis Safe Proxy
0xb5c144785108e2BE51641781e1837667D2381E89,2.373009951068633,Other
0x82387967580a104a0BFcE8a6bbF9Fd5392ae3901,19.369416462877837,Other
0x357311FC4dfb2914Eef537C82379beA94c9007FB,38.0,Vault Contract
0x9f16dDc47DBA98f5438651D6f6A703059672E45C,2.257,Other
0x43eEB7f2a34D0bb485a4F617FC02719fEed76146,517.0,Other
0x082ecCE0B262d356295feb11AD7d57DF7cB2bEd2,2.44,Other
0xF50dBbd134382Eafe111b4A91D899C580B676599,2.8942615324257823,Other
0x97BbF3071C3C17e1F02694074024206923378f2C,1.008179800741514,Other
0xF4741565fAe8149550E014709c6c083018CCeC35,2.74223645,Gnosis Safe Proxy
0x103FC8dA44A4Ac8981BF4D358D58c6c9702c8470,2.5,Other
0x43F9Bb509bF6e64Ad9620365d00450360622F4F5,2.461164165,Other
0xc9aad75C2d26C17666a8a6BF1223FAa259b1c923,1.903,Gnosis Safe Proxy
0x72FB1427D75BAaB8Fc6aCaE969889834570d68Cb,1648.9619249139273,ERC20 Token
0x1461e9A46b616299a74EF8ddeEB44Aa23B0a8d6c,2.257,Other
0x3292c347466f0d71777e253CdFcC8E3D9D48d9d5,219.0,Vault Contract
0xCd3Fac35553FA0592e166Cd143549ac632097560,22.7,Vault Contract
0x0Ec380d49f3B6ec93E332b4e99935e729767eE46,294.4,Vault Contract
0x0c34ad80a50cef903c66e7562F17CF92e552e37d,14.16236205833759,ERC20 Token
0xe9AE0110044bEF983a44237bcD9D7255F1aC1a9f,4733.36425412174,Vault Contract
0x1E623B77171Eb2A5432785e27627efb689beC88E,16.897,Other
0xdd24aD4E0BD65F6F8f15FF12aF4f20875735b591,14026.017771175515,Other
0x05d235d8Ba95bfc457f9a11F64cf869f0f3f60F9,113437.0,Gnosis Safe Proxy
0xA642640cc5621EC73645Cd30d3F35Fa2b6bD1885,527.8934710526703,ERC20 Token
0x3E0F71DF895efFed0b7c77Fa9B7CF63e93D4d6F9,3.255974132,Other
0x41C914ee0c7E1A5edCD0295623e6dC557B5aBf3C,418.5958495836823,Other
0x3dDFc699F2e0B3B9A6B39f117321aBBe18B32c3F,217.0,Vault Contract
0x824228F834e3FEa596d56F77300129BDFb2CaE31,4.417106139285355,ERC20 Token
0xF4ED7bd0dfb1d21F4e7B2DbEE7Bcd98C1B5994EE,600.0,Gnosis Safe Proxy
0x0FAd8f10746171C0616cE4B7B4E2e9439a9a02E2,6993.09525045653,Vault Contract
0x6aAee18F61d0A8C94117b927406180E59E285b37,21.815480168696503,Other
0x5AE9E13b7f2E030a7653a3D371ec74cCb6ce8dC5,5.65,Other
0x278631eFe7e7B4C2eC49927b255c2Ca42be2C1b1,2.4928847121402793,ERC20 Token
0xfbDFb440deA7633C4406dc6664d13D908120D700,14.25,Gnosis Safe Proxy
0xc4EC216E6fdDa94082930f4bdA2Af3Ea4309D88f,20.16,Other
0x23f81b948d6b37e0d7311731a19D8589F57014C2,468.2,Vault Contract
0xb40CaC8A9700163B34Df95598271B9eC4Bd42024,410.0,Vault Contract
0xe364b6D9794a506446Bde022AEe0c3Cc945DbCe7,2.1014022893615154,Other
0x45B29Ac9F509C6484457d80b66484FC5f2Acd888,1.3965315860237992,Other
0xA2A3d33c3a1B6aE0486145723da9a47b5c848447,1.5589182763189642,Other
0x7b3dD2FbB5dDDA20B9f65626C35311b71D9f0Da4,408.27867202194346,Other
0xDb1a02fDBE704fc724B718A3E88E4c28b5F25dCb,9.67,Gnosis Safe Proxy
0xbd8a7e73CF04760100525Bc3267900630aDC0A1A,140.335,Other
0xbc6949ddC03155909dE84179F774a8d585DF4d47,2.2,Other
0x3F52c4dAF40a1855498218eDb0EB698A2dD0ed9F,3.6,Other
0x05c44Cc6E189287BcD08c7c3d015ed0b9F4237f0,4459.3,Vault Contract
0x48Bc85e037541E39014bC2c97672c3E57f95D1bb,40.0,Other
0x67286B81b7451a914E9Fb6AE9c90F547600fFC96,1.213530817,Other
0x2D98F40ee95dB10c3CC36582F4f461f2b105c0Ab,2.28009803,Gnosis Safe Proxy
0xdf07C6991241B339109732CDbd77db15a600974A,1.0468385475862894,Other
0x233f4beA329F5C208681CA4f39F1CF110e224309,1.3775,Other
0x184ba0a09176Dc46BB5325facA02925E8E348529,9420.0,Vault Contract
0x8B93d4D5acd5Cf1Ef6Fd1eC0a984DB2627F80797,2.3390028817618935,Other
0xA3E8E08282713DeABA855003aE0fb6e23987cBCa,4.065806878307745,Other
0x3EA28D52FF1d123305a79B705eA8ce9272B48eE8,2.1819629,Gnosis Safe Proxy
0x2243A6309c99EedD75217B48aed2AC429f7d1C27,258.6328187654298,ERC20 Token
0x9252f318B49aE1dfD4FD839e91C800224952f869,137.3,Vault Contract
0xF643D02462E669395625565572c3Ad15aC61D74d,911.8143821535523,Other
0x34FED88382285e383ce708345f3B9133C53DC0d1,1.05,Other
0x2c4EE0165179a2a66Ffb8dcB2Ca55e2bE47EB8e7,210.0,Vault Contract
0x8Dcaa16dBA876068293c30bAe97074D8622f8fEa,38.2,Vault Contract
0x23e1E72c5D8aBA40f75711d9A6Ecd6E9C331ed4d,12.56281407035176,Other
0xF11AaBded3205aDDC2772d9fA2B9ce833Fadfe55,22.8,Vault Contract
0xAC50B08ceFD63C32F0D2AdDa6efA98ae39026cEA,1.747318760662876,Other
0xA73e846536047166583507a033c7942C14AE18ad,1478.1799999999998,Other
0xa37B45320c09e88c8847C13Dfab413b2E63C4CED,9.436905929292665,ERC20 Token
0xC2ab457E31c224dA284dF7aFdA70C39523df4972,27382.821361477094,ERC20 Token
0xB3938244F1E8184cB44Bc4c395808f9C25bA2f63,5.0,Gnosis Safe Proxy
0x4D9339dd97db55e3B9bCBE65dE39fF9c04d1C2cd,8346.272796039879,Gnosis Safe Proxy
0x7A5376B8Ad5Bb0079D7a9D12e890B0575aBb9BE0,1.8220535,Other
0xC68B4b9735B7a89372BE2705D3F5Cc41230D3953,2.06625,Other
0xE27C061cE2CdCf925fF94fdA70b5cFaDe734d89D,1.27593679,Gnosis Safe Proxy
0x0464f52d4e0441B8dd4c8Ec2a800EA5000467Ae2,1.08388162,Gnosis Safe Proxy
0x72AD2e085C1ee0931C1D9e54d382F184F28d54bf,6.4548497109890235,Other
0x55fc46B7b6600981DdEf1789C4444015B8e11Cc1,15000.0,Gnosis Safe Proxy
